OID_,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11
515,313810,77.051000000000002,80.543199999999999,71.393000000000001,10.266500000000001,34.439999999999998,92.008600000000001,48.593800000000002,25.486000000000001,100.000000000000000,0.277200000000000
516,313811,59.465000000000003,75.720200000000006,61.458300000000001,12.576700000000001,25.000000000000000,95.209599999999995,55.967100000000002,15.568899999999999,100.000000000000000,2.057600000000000
517,313812,45.638500000000001,48.156500000000001,26.824000000000002,9.888199999999999,42.170000000000002,90.541899999999998,59.959600000000002,3.743800000000000,99.595299999999995,0.809400000000000
518,313813,80.887400000000000,86.006799999999998,79.411799999999999,16.463400000000000,33.200000000000003,100.000000000000000,53.465299999999999,4.838700000000000,100.000000000000000,0.000000000000000
519,313814,39.132800000000003,38.103000000000002,13.370500000000000,7.181900000000000,44.490000000000002,91.187700000000007,48.658600000000000,11.877400000000000,97.723600000000005,1.897000000000000
520,313815,80.029700000000005,62.286600000000000,63.063099999999999,20.129899999999999,55.130000000000003,98.401399999999995,46.666699999999999,8.881000000000000,100.000000000000000,0.000000000000000
521,313816,75.000000000000000,82.142899999999997,75.000000000000000,13.888900000000000,52.310000000000002,100.000000000000000,57.692300000000003,13.392899999999999,100.000000000000000,0.000000000000000
522,313817,93.778899999999993,85.637900000000002,77.790599999999998,17.180900000000001,43.020000000000003,100.000000000000000,72.674400000000006,21.041899999999998,99.781300000000002,0.364500000000000
523,313818,38.713099999999997,31.856500000000000,37.500000000000000,14.337700000000000,39.630000000000003,89.334999999999994,41.808900000000001,13.299899999999999,99.683499999999995,0.843900000000000
524,313819,48.934699999999999,56.747199999999999,34.920600000000000,9.777300000000000,50.829999999999998,81.205699999999993,39.241900000000001,6.560300000000000,100.000000000000000,0.000000000000000
525,313820,38.295600000000000,40.992400000000004,28.884799999999998,9.667299999999999,50.310000000000002,90.531400000000005,38.753399999999999,6.280200000000000,98.489800000000002,2.337300000000000
526,313901,61.504399999999997,48.938099999999999,52.668999999999997,12.879700000000000,46.780000000000001,82.766400000000004,52.754800000000003,10.657600000000000,100.000000000000000,0.000000000000000
