"Origin ID","Destination ID","Duration","Distance","Origin snap distance","Destination snap distance"
46,2,1.6801,1577.2815,104.7261,80.7594
46,3,23.7731,25968.5358,104.7261,87.6054
46,4,11.4194,16409.2271,104.7261,161.5849
46,5,6.4283,8457.2562,104.7261,159.266
47,1,6.8664,9290.2706,144.1038,502.6552
47,2,2.7722,2602.5129,144.1038,80.7594
47,3,25.3853,27455.2147,144.1038,87.6054
47,4,10.6226,14898.6852,144.1038,161.5849
47,5,5.6315,7188.248,144.1038,159.266
48,1,8.9958,10905.5573,99.4783,502.6552
48,2,0.7429,697.3989,99.4783,80.7594
48,3,23.7227,25894.3482,99.4783,87.6054
48,4,12.5359,15714.9811,99.4783,161.5849
48,5,7.7609,8803.5347,99.4783,159.266
49,1,8.1841,11048.3749,212.0412,502.6552
49,2,0.8232,772.7834,212.0412,80.7594
49,3,23.4363,25625.4852,212.0412,87.6054
49,4,11.9404,16118.0881,212.0412,161.5849
49,5,6.9492,8946.3522,212.0412,159.266
50,1,8.157,10288.0455,209.9697,502.6552
50,2,1.7745,1665.8872,209.9697,80.7594
50,3,24.3876,26518.589,209.9697,87.6054
50,4,11.9132,15229.4268,209.9697,161.5849
50,5,6.9221,8186.0229,209.9697,159.266
51,1,9.5886,10475.8162,352.4775,502.6552
51,2,3.6338,3411.3565,352.4775,80.7594
51,3,26.6037,28024.7413,352.4775,87.6054
51,4,9.645,13001.0235,352.4775,161.5849
51,5,8.3537,8750.0449,352.4775,159.266
52,1,8.9716,10272.8479,342.591,502.6552
52,2,2.2439,2106.5395,342.591,80.7594
52,3,25.2138,26860.3594,342.591,87.6054
52,4,11.0349,14305.8405,342.591,161.5849
52,5,7.7367,8170.8253,342.591,159.266
53,1,8.5559,9665.6603,273.2328,502.6552
53,2,4.8319,4536.1501,273.2328,80.7594
53,3,27.8018,29289.9699,273.2328,87.6054
53,4,9.0823,12190.8675,273.2328,161.5849
53,5,7.321,7780.5786,273.2328,159.266
54,1,6.94,8365.6008,110.8036,502.6552
54,2,3.4485,3237.3555,110.8036,80.7594
54,3,26.4183,27991.1753,110.8036,87.6054
54,4,10.4343,13306.982,110.8036,161.5849
54,5,5.7051,6263.5782,110.8036,159.266
